Id,Company_url,Company_ID,Company_Name,Headquarters,Website,Employees,Stock_Symbol,Ticker,Revenue,Phone,Siccode,Naicscode,Description,Industry,Company_Logo_URL
1,https://www.zoominfo.com/c/!melk-landscape-architecture-urban-design/371627982,371627982,!melk landscape architecture & urban design,"111 John St., Ste. 2650, New York City, New York, 10038, United States",www.melk-nyc.com,14,,,$2 Million,(212) 513-1025,"8712,871","541,5413",,"Architecture, Engineering & Design|Construction","https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/melk-nyc.com"
2,https://www.zoominfo.com/c/%c2%b1prodatacon/371660878,371660878,±Prodatacon,"702 Ernest Dr, Port Orange, Florida, 32127, United States",www.prodatacon.com,8,,,$1 Million,(813) 419-0101,"737,73","5182,51",,Engineering Software|Software Development & Design|Software,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/prodatacon.com"
3,https://www.zoominfo.com/c/%c3%80-la-minute/442203654,442203654,à la minute,"532 W 1St St., Claremont, California, 91711, United States",alaminuteicecream.com,,,,,(909) 624-1800,,,,,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/alaminuteicecream.com"
4,https://www.zoominfo.com/c/%c3%80-la-mode/358036307,358036307,A La Mode,"1000 W Wasihngton Blvd, Ste 401, Chicago, Illinois, 60607, United States",www.alamodepartners.com,1,,,"$192,000",,"513,51","42,424","We also offer services to enhance profitability such as promotional marketing/planning, staff training, visual merchandising and display support and many others...",Apparel & Accessories Retail|Retail,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/alamodepartners.com"
5,https://www.zoominfo.com/c/%c3%98s-design-group-inc/397562313,397562313,ØS Design Group,"200 Collins Ave. 17., Miami Beach, Florida, 33139, United States",www.osdesigngroup.com,4,,,"$790,000",,,,"ØS Design Group; Miami's full service boutique design company. Specializing in architecture, interiors, furniture, landscape, branding, graphic and web design....",,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/osdesigngroup.com"
6,https://www.zoominfo.com/c/%c3%98utpost-studio/456744615,456744615,Øutpost Studio,"226 N6TH St., Brooklyn, New York, 11211, United States",outpoststudio.com,15,,,$2 Million,,,"5419,541","Outpost Studio is a private photo studio in New York. Giving you an uncompromising experience for still shoots, motion shoots and events. In-house equipment and...",,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/outpoststudio.com"
7,https://www.zoominfo.com/c/%c3%9cberbluedm-inc/348036723,348036723,"ÜberBlueDM,Inc","2328 Walters Ave., Northbrook, Illinois, 60062, United States",www.uberbluedm.com,3,,,"$576,000",,"7361,736","56,56131","We provide ""Everything Ü need for social media"". We Educate, Strategize, Implement, Manage and Report. Need a social media person or department but can't afford to hire anyone full time? We offer Flexible Social Media Staffing Solutions & Temps by the Hour, Day, Week, Month or Longer. ÜberBlueDM t...",Human Resources & Staffing|Business Services,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/uberbluedm.com"
8,https://www.zoominfo.com/c/%c3%9cberchic-nail-boutique/359431371,359431371,ÜberChic Nail Boutique,"5223 W 25th Ave, Edgewater, Colorado, 80214, United States",www.uberchicboutique.com,2,,,"$380,000",(303) 462-2442,"7231,723","812,81","ÜberChic Nail Boutique is an Eco-conscious salon offering expert services in Nail Care and Waxing located in quaint Edgewater, Colorado. Our charming salon is a few miles from downtown Denver, only one block West of Sloan's Lake, on historic Edgewater Main Street (25th Ave). Please be aware that w...",Hair Salons|Consumer Services,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/uberchicboutique.com"
9,https://www.zoominfo.com/c/%c3%9cber-trade-llc/359006358,359006358,Über Trade,"PO Box 5787, Alpharetta, Georgia, 30023, United States",www.ubertrade.com,8,,,$1 Million,,,,,,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/ubertrade.com"
10,https://www.zoominfo.com/c/%c4%92koserve-%e2%80%93-cleaning-services-products/459436633,459436633,ekoserve – Cleaning Services & Products,"1351 N Buckner Blvd. Ste. 181705, Dallas, Texas, 75218, United States",ekoserve.com,19,,,$3 Million,(214) 440-4933,"734,73","56,5617",,Facilities Management & Commercial Cleaning|Business Services,"https://res.cloudinary.com/zoominfo-com/image/upload/w_70,h_70,c_fit/ekoserve.com"
